Ticker,Date Bought,Date Sold,Quantity,Buy Price,Sell Price,Profit
AAPL,2025-04-10 23:48,2025-04-10 23:52:05,50.0,190.44,190.44000244140625,0.0001220703126136
AAPL,2025-04-10 23:47,2025-04-10 23:52:08,100.0,190.44,190.44000244140625,0.0002441406252273
MAYS,2025-04-10 23:53,2025-04-10 23:54:33,1000.0,38.0,38.0,0.0
AAPL,2025-04-10 23:52,2025-04-10 23:54:37,75.0,190.44,190.44000244140625,0.0001831054689205
AMZN,2025-04-10 23:52,2025-04-10 23:54:41,100.0,181.04,181.0399932861328,-0.0006713867179541
AMZN,2025-04-10 23:52,2025-04-10 23:54:44,30.0,181.04,181.0399932861328,-0.0002014160153862
AAPL,2025-04-10 23:52,2025-04-10 23:54:46,50.0,190.44,190.44000244140625,0.00012207031261368684
