Ticker,Date Bought,Quantity,Price Bought,Current Value,Earnings,Change %
AAPL,2025-04-14 11:56,100,202.64,20259.0,-5.0,-0.02
INTC,2025-04-14 11:56,200,20.17,4062.0,28.0,0.69
